filename,contract_type,split
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.txt,Transportation Agreement,dev
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.txt,Co-Branding Agreement,dev
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.txt,Endorsement Agreement,holdout
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.txt,Reseller Agreement,dev
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.txt,Co-Branding Agreement,dev
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.txt,Affiliate Agreement,dev
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.txt,Maintenance Agreement,dev
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT.txt,Supply Agreement,dev
"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc..txt",Other,holdout
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.txt,Cooperation Agreement,dev
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,holdout
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.txt,Affiliate Agreement,dev
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.txt,Supply Agreement,dev
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.txt,Other,dev
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.txt,Other,dev
"VAPOTHERM, INC. - Manufacturing and Supply Agreement.txt",Manufacturing And Supply Agreement,holdout
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.txt,Unconditional Capital Maintenance Agreement,dev
"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT.txt",Supply Agreement,dev
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement,holdout
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT.txt,Supply Agreement,holdout
VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT.txt,Intellectual Property Agreement,dev
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.txt,Other,dev
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.txt,Other,dev
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,holdout
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.txt",Other,dev
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.txt",Distributor Agreement,dev
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.txt",Competition Agreement,dev
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.txt",Sponsorship Agreement,holdout
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.txt,Service Agreement,dev
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.txt,Marketing Agreement,dev
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.txt,Development Agreement,dev
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.txt,License Agreement,dev
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.txt,Hosting Agreement,dev
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.txt,Promotion Agreement,dev
WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.txt,Development Agreement,holdout
WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Hosting Agreement,dev
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.txt,Other,holdout
WESTERN COPPER - NON-COMPETITION AGREEMENT.txt,Competition Agreement,dev
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.txt",Other,holdout
WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT.txt,Reseller Agreement,holdout
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.txt,Service Agreement,dev
WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.txt,Content License Agreement,dev
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.txt,Distributor Agreement,holdout
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.txt,Content License Agreement,holdout
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.txt,Supply Agreement,dev
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.txt",Other,dev
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).txt,Other,holdout
"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,holdout
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Sponsorship Agreement,holdout
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.txt,Content License Agreement,holdout
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.txt,Marketing Agreement,holdout
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT.txt,Intellectual Property Agreement,dev
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.txt,Other,dev
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.txt,Distributor Agreement,dev
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.txt",Other,dev
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.txt,Transportation Agreement,dev
